Indicator Code,Indicator Name,Aggregation method,Dataset,General comments,License Type,License URL,Long definition,Periodicity,Referenceperiod,Short definition,Source,Topic,Unit of measure,Relatedindicators,Development relevance,Limitations and exceptions,Notes from original source,Statistical concept and methodology,Otherweblinks,BasePeriod,Othernotes,Previous Indicator Name,Relatedsourcelinks
HD.HCI.HLOS.FE,"""Harmonized Test Scores, Female""",,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Harmonized test scores from major international student achievement testing programs.They are measured in TIMMS-equivalent units, where 300 is minimal attainment and 625 is advanced attainment. Most recent estimates are used.  Year of most recent estimate shown in data notes. 

Test scores from the following testing programs are included:
• TIMSS/PIRLS:  Refers to average of test scores from TIMSS (Trends in International Maths and Science Study) and PIRLS (Progress in International Reading Literacy Study), both carried out by the International Association for the Evaluation of Educational Achievement. Data from each PIRLS round is moved to the year of the nearest TIMSS round and averaged with the TIMSS data.     
• PISA:  Refers to test scores from Programme for International Student Assessment
• PISA+TIMSS/PIRLS:  Refers to the average of these programs for countries and years where both are available
• SACMEQ:  Refers to test scores from Southern and Eastern Africa Consortium for Monitoring Educational Quality 
• PASEC: Refers to test scores from Program of Analysis of Education Systems
• LLECE:  Refers to test scores from Latin American Laboratory for Assessment of the Quality of Education
• PILNA: Refers to test scores from Pacific Islands Literacy and Numeracy Assessment
• EGRA:  Refers to test scores from nationally-representative Early Grade Reading Assessments  
• EGRANR:  Refers to test scores from non-nationally-representative Early Grade Reading Assessments""",,,,Patrinos and Angrist (2018).  http://documents.worldbank.org/curated/en/390321538076747773/Global-Dataset-on-Education-Quality-A-Review-and-Update-2000-2017,Education,,,,,,,,,,,
HD.HCI.HLOS.MA,"""Harmonized Test Scores, Male""",,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""Harmonized test scores from major international student achievement testing programs.They are measured in TIMMS-equivalent units, where 300 is minimal attainment and 625 is advanced attainment. Most recent estimates are used.  Year of most recent estimate shown in data notes. 

Test scores from the following testing programs are included:
• TIMSS/PIRLS:  Refers to average of test scores from TIMSS (Trends in International Maths and Science Study) and PIRLS (Progress in International Reading Literacy Study), both carried out by the International Association for the Evaluation of Educational Achievement. Data from each PIRLS round is moved to the year of the nearest TIMSS round and averaged with the TIMSS data.     
• PISA:  Refers to test scores from Programme for International Student Assessment
• PISA+TIMSS/PIRLS:  Refers to the average of these programs for countries and years where both are available
• SACMEQ:  Refers to test scores from Southern and Eastern Africa Consortium for Monitoring Educational Quality 
• PASEC: Refers to test scores from Program of Analysis of Education Systems
• LLECE:  Refers to test scores from Latin American Laboratory for Assessment of the Quality of Education
• PILNA: Refers to test scores from Pacific Islands Literacy and Numeracy Assessment
• EGRA:  Refers to test scores from nationally-representative Early Grade Reading Assessments  
• EGRANR:  Refers to test scores from non-nationally-representative Early Grade Reading Assessments""",,,,Patrinos and Angrist (2018).  http://documents.worldbank.org/curated/en/390321538076747773/Global-Dataset-on-Education-Quality-A-Review-and-Update-2000-2017,Education,,,,,,,,,,,
HD.HCI.LAYS,Learning-Adjusted Years of School,,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Learning-adjusted years of school are calculated by multiplying the estimates of expected years of school by the ratio of most recent harmonized test scores to 625.,,,,World Bank staff calculation based on methodology in Filmer et al. (2018).  http://documents.worldbank.org/curated/en/243261538075151093/Learning-Adjusted-Years-of-Schooling-LAYS-Defining-A-New-Macro-Measure-of-Education,Education,,,,,,,,,,,
HD.HCI.LAYS.FE,"""Learning-Adjusted Years of School, Female""",,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Learning-adjusted years of school are calculated by multiplying the estimates of expected years of school by the ratio of most recent harmonized test scores to 625.,,,,World Bank staff calculation based on methodology in Filmer et al. (2018).  http://documents.worldbank.org/curated/en/243261538075151093/Learning-Adjusted-Years-of-Schooling-LAYS-Defining-A-New-Macro-Measure-of-Education,Education,,,,,,,,,,,
HD.HCI.LAYS.MA,"""Learning-Adjusted Years of School, Male""",,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Learning-adjusted years of school are calculated by multiplying the estimates of expected years of school by the ratio of most recent harmonized test scores to 625.,,,,World Bank staff calculation based on methodology in Filmer et al. (2018).  http://documents.worldbank.org/curated/en/243261538075151093/Learning-Adjusted-Years-of-Schooling-LAYS-Defining-A-New-Macro-Measure-of-Education,Education,,,,,,,,,,,
HD.HCI.OVRL,Human capital index (HCI) (scale 0-1),,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The HCI calculates the contributions of health and education to worker productivity. The final index score ranges from zero to one and measures the productivity as a future worker of child born today relative to the benchmark of full health and complete education.,,,,World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498,Education,,"""Please visit the Human Capital Index (HCI) database (http://databank.worldbank.org/data/source/human-capital-index) for each of the components of the Human Capital Index as well as for the overall index, disaggregated by gender.""",,,,,,,,,
HD.HCI.OVRL.FE,"""Human capital index (HCI), female (scale 0-1)""",,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The HCI calculates the contributions of health and education to worker productivity. The final index score ranges from zero to one and measures the productivity as a future worker of child born today relative to the benchmark of full health and complete education.,,,,World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498,Education,,"""Please visit the Human Capital Index (HCI) database (http://databank.worldbank.org/data/source/human-capital-index) for each of the components of the Human Capital Index as well as for the overall index, disaggregated by gender.""",,,,,,,,,
HD.HCI.OVRL.LB,"""Human capital index (HCI), lower bound (scale 0-1)""",,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The HCI lower bound reflects uncertainty in the measurement of the components and the overall index. It is obtained by recalculating the HCI using estimates of the lower bounds of each of the components of the HCI. The range between the upper and lower bound is the uncertainty interval. While the uncertainty intervals constructed here do not have a rigorous statistical interpretation, a rule of thumb is that if for two countries they overlap substantially, the differences between their HCI values are not likely to be practically meaningful.""",,,,World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498,Education,,"""Please visit the Human Capital Index (HCI) database (http://databank.worldbank.org/data/source/human-capital-index) for each of the components of the Human Capital Index as well as for the overall index, disaggregated by gender.""",,,,,,,,,
HD.HCI.OVRL.LB.FE,"""Human capital index (HCI), female, lower bound (scale 0-1)""",,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The HCI lower bound reflects uncertainty in the measurement of the components and the overall index. It is obtained by recalculating the HCI using estimates of the lower bounds of each of the components of the HCI. The range between the upper and lower bound is the uncertainty interval. While the uncertainty intervals constructed here do not have a rigorous statistical interpretation, a rule of thumb is that if for two countries they overlap substantially, the differences between their HCI values are not likely to be practically meaningful.""",,,,World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498,Education,,"""Please visit the Human Capital Index (HCI) database (http://databank.worldbank.org/data/source/human-capital-index) for each of the components of the Human Capital Index as well as for the overall index, disaggregated by gender.""",,,,,,,,,
HD.HCI.OVRL.LB.MA,"""Human capital index (HCI), male, lower bound (scale 0-1)""",,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The HCI lower bound reflects uncertainty in the measurement of the components and the overall index. It is obtained by recalculating the HCI using estimates of the lower bounds of each of the components of the HCI. The range between the upper and lower bound is the uncertainty interval. While the uncertainty intervals constructed here do not have a rigorous statistical interpretation, a rule of thumb is that if for two countries they overlap substantially, the differences between their HCI values are not likely to be practically meaningful.""",,,,World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498,Education,,"""Please visit the Human Capital Index (HCI) database (http://databank.worldbank.org/data/source/human-capital-index) for each of the components of the Human Capital Index as well as for the overall index, disaggregated by gender.""",,,,,,,,,
HD.HCI.OVRL.MA,"""Human capital index (HCI), male (scale 0-1)""",,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,The HCI calculates the contributions of health and education to worker productivity. The final index score ranges from zero to one and measures the productivity as a future worker of child born today relative to the benchmark of full health and complete education.,,,,World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498,Education,,"""Please visit the Human Capital Index (HCI) database (http://databank.worldbank.org/data/source/human-capital-index) for each of the components of the Human Capital Index as well as for the overall index, disaggregated by gender.""",,,,,,,,,
HD.HCI.OVRL.UB,"""Human capital index (HCI), upper bound (scale 0-1)""",,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The HCI upper bound reflects uncertainty in the measurement of the components and the overall index. It is obtained by recalculating the HCI using estimates of the upper bounds of each of the components of the HCI. The range between the upper and lower bound is the uncertainty interval. While the uncertainty intervals constructed here do not have a rigorous statistical interpretation, a rule of thumb is that if for two countries they overlap substantially, the differences between their HCI values are not likely to be practically meaningful.""",,,,World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498,Education,,"""Please visit the Human Capital Index (HCI) database (http://databank.worldbank.org/data/source/human-capital-index) for each of the components of the Human Capital Index as well as for the overall index, disaggregated by gender.""",,,,,,,,,
HD.HCI.OVRL.UB.FE,"""Human capital index (HCI), female, upper bound (scale 0-1)""",,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The HCI upper bound reflects uncertainty in the measurement of the components and the overall index. It is obtained by recalculating the HCI using estimates of the upper bounds of each of the components of the HCI. The range between the upper and lower bound is the uncertainty interval. While the uncertainty intervals constructed here do not have a rigorous statistical interpretation, a rule of thumb is that if for two countries they overlap substantially, the differences between their HCI values are not likely to be practically meaningful.""",,,,World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498,Education,,"""Please visit the Human Capital Index (HCI) database (http://databank.worldbank.org/data/source/human-capital-index) for each of the components of the Human Capital Index as well as for the overall index, disaggregated by gender.""",,,,,,,,,
HD.HCI.OVRL.UB.MA,"""Human capital index (HCI), male, upper bound (scale 0-1)""",,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,"""The HCI upper bound reflects uncertainty in the measurement of the components and the overall index. It is obtained by recalculating the HCI using estimates of the upper bounds of each of the components of the HCI. The range between the upper and lower bound is the uncertainty interval. While the uncertainty intervals constructed here do not have a rigorous statistical interpretation, a rule of thumb is that if for two countries they overlap substantially, the differences between their HCI values are not likely to be practically meaningful.""",,,,World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498,Education,,"""Please visit the Human Capital Index (HCI) database (http://databank.worldbank.org/data/source/human-capital-index) for each of the components of the Human Capital Index as well as for the overall index, disaggregated by gender.""",,,,,,,,,
SE.ADT.1524.LT.FE.ZS,"""Literacy rate, youth female (% of females ages 15-24)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Youth literacy rate is the percentage of people ages 15-24 who can both read and write with understanding a short simple statement about their everyday life.,Annual,,,"""UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed October 24, 2022. https://apiportal.uis.unesco.org/bdds.""",Education,,,"""Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role.""","""In practice, literacy is difficult to measure. Estimating literacy rates requires census or survey measurements under controlled conditions. Many countries report the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Ant there is a trend among recent national and international surveys toward using a direct reading test of literacy skills. Because definitions and methods of data collection differ across countries, data should be used cautiously.""",,"""Literacy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.

Data on literacy are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys and, for countries without recent literacy data, using the Global Age-Specific Literacy Projection Model (GALP). For detailed information, see www.uis.unesco.org.""",,,,,
SE.ADT.1524.LT.FM.ZS,"""Literacy rate, youth (ages 15-24), gender parity index (GPI)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Gender parity index for youth literacy rate is the ratio of females to males ages 15-24 who can both read and write with understanding a short simple statement about their everyday life.,Annual,,,"""UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed October 24, 2022. https://apiportal.uis.unesco.org/bdds.""",Education,,,"""Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

The Gender Parity Index (GPI) indicates parity between girls and boys. A GPI of less than 1 suggests girls are more disadvantaged than boys in learning opportunities and a GPI of greater than 1 suggests the other way around. Eliminating gender disparities in education would help increase the status and capabilities of women. Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role.""","""In practice, literacy is difficult to measure. Estimating literacy rates requires census or survey measurements under controlled conditions. Many countries report the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Ant there is a trend among recent national and international surveys toward using a direct reading test of literacy skills. Because definitions and methods of data collection differ across countries, data should be used cautiously.""",,"""This indicator is calculated by dividing female youth literacy rate by male youth literacy rate. 

Literacy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.

Data on literacy are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys and, for countries without recent literacy data, using the Global Age-Specific Literacy Projection Model (GALP). For detailed information, see www.uis.unesco.org.""",,,,,
SE.ADT.1524.LT.MA.ZS,"""Literacy rate, youth male (% of males ages 15-24)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Youth literacy rate is the percentage of people ages 15-24 who can both read and write with understanding a short simple statement about their everyday life.,Annual,,,"""UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed October 24, 2022. https://apiportal.uis.unesco.org/bdds.""",Education,,,"""Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role.""","""In practice, literacy is difficult to measure. Estimating literacy rates requires census or survey measurements under controlled conditions. Many countries report the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Ant there is a trend among recent national and international surveys toward using a direct reading test of literacy skills. Because definitions and methods of data collection differ across countries, data should be used cautiously.""",,"""Literacy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.

Data on literacy are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys and, for countries without recent literacy data, using the Global Age-Specific Literacy Projection Model (GALP). For detailed information, see www.uis.unesco.org.""",,,,,
SE.ADT.1524.LT.ZS,"""Literacy rate, youth total (% of people ages 15-24)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Youth literacy rate is the percentage of people ages 15-24 who can both read and write with understanding a short simple statement about their everyday life.,Annual,,,"""UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed October 24, 2022. https://apiportal.uis.unesco.org/bdds.""",Education,,,"""Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role.""","""In practice, literacy is difficult to measure. Estimating literacy rates requires census or survey measurements under controlled conditions. Many countries report the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Ant there is a trend among recent national and international surveys toward using a direct reading test of literacy skills. Because definitions and methods of data collection differ across countries, data should be used cautiously.""",,"""Literacy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.

Data on literacy are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys and, for countries without recent literacy data, using the Global Age-Specific Literacy Projection Model (GALP). For detailed information, see www.uis.unesco.org.""",,,,,
SE.ADT.LITR.FE.ZS,"""Literacy rate, adult female (% of females ages 15 and above)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Adult literacy rate is the percentage of people ages 15 and above who can both read and write with understanding a short simple statement about their everyday life.,Annual,,,"""UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed October 24, 2022. https://apiportal.uis.unesco.org/bdds.""",Education,,,"""Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role.""","""In practice, literacy is difficult to measure. Estimating literacy rates requires census or survey measurements under controlled conditions. Many countries report the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Ant there is a trend among recent national and international surveys toward using a direct reading test of literacy skills. Because definitions and methods of data collection differ across countries, data should be used cautiously.""",,"""Literacy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.

Data on literacy are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys and, for countries without recent literacy data, using the Global Age-Specific Literacy Projection Model (GALP). For detailed information, see www.uis.unesco.org.""",,,,,
SE.ADT.LITR.MA.ZS,"""Literacy rate, adult male (% of males ages 15 and above)""",Weighted average,,,CC BY-4.0,https://datacatalog.worldbank.org/public-licenses#cc-by,Adult literacy rate is the percentage of people ages 15 and above who can both read and write with understanding a short simple statement about their everyday life.,Annual,,,"""UNESCO Institute for Statistics (UIS). UIS.Stat Bulk Data Download Service. Accessed October 24, 2022. https://apiportal.uis.unesco.org/bdds.""",Education,,,"""Literacy rate is an outcome indicator to evaluate educational attainment. This data can predict the quality of future labor force and can be used in ensuring policies for life skills for men and women.

It can be also used as a proxy instrument to see the effectiveness of education system; a high literacy rate suggests the capacity of an education system to provide a large population with opportunities to acquire literacy skills. The accumulated achievement of education is fundamental for further intellectual growth and social and economic development, although it doesn't necessarily ensure the quality of education.

Literate women implies that they can seek and use information for the betterment of the health, nutrition and education of their household members. Literate women are also empowered to play a meaningful role.""","""In practice, literacy is difficult to measure. Estimating literacy rates requires census or survey measurements under controlled conditions. Many countries report the number of literate people from self-reported data. Some use educational attainment data as a proxy but apply different lengths of school attendance or levels of completion. Ant there is a trend among recent national and international surveys toward using a direct reading test of literacy skills. Because definitions and methods of data collection differ across countries, data should be used cautiously.""",,"""Literacy statistics for most countries cover the population ages 15 and older, but some include younger ages or are confined to age ranges that tend to inflate literacy rates. The youth literacy rate for ages 15-24 reflects recent progress in education. It measures the accumulated outcomes of primary education over the previous 10 years or so by indicating the proportion of the population who have passed through the primary education system and acquired basic literacy and numeracy skills. Generally, literacy also encompasses numeracy, the ability to make simple arithmetic calculations.

Data on literacy are compiled by the UNESCO Institute for Statistics based on national censuses and household surveys and, for countries without recent literacy data, using the Global Age-Specific Literacy Projection Model (GALP). For detailed information, see www.uis.unesco.org.""",,,,,
